ExecTime,PlaceTime,placeID,PlaceQty,BrokerKey,SecType,SecKey,limit,price,EstPrice,Algo,TranCode
1675976,10:05,409782,9950000,10000188,tnus,139063,mkt,102.5429688,100, ,0
365666,11:02,440283,4381000,10000178,fhus,140583,MKT,103.703125,103.75, ,0
6563,12:37,441048,199,88126,psus,137976,MKT,26.61,26.5899, ,0
2100110,10:49,476716,2000000,10000195,mbus,144811,mkt,105.359,105.359,                                                                                                                                                                                                                                                                ,0
18813,15:45,477234,42,105683,csus,40214,MKT,440.061,440.9,                                                                                                                                                                                                                                                                ,1
11550,15:45,477235,155,105683,csus,40273,MKT,82.461,82.78,                                                                                                                                                                                                                                                                ,1
12303,15:45,477236,115,105683,csus,40497,MKT,72.582,73.08,                                                                                                                                                                                                                                                                ,1
12090,15:45,477237,152,105683,csus,40522,MKT,77.41,78.09,                                                                                                                                                                                                                                                                ,1
11890,15:45,477238,94,105683,csus,41174,MKT,144.79,144.62,                                                                                                                                                                                                                                                                ,1
11633,15:45,477239,103,105683,csus,41303,MKT,113.311,113.65,                                                                                                                                                                                                                                                                ,1
11430,15:45,477240,212,105683,csus,41365,MKT,45.744,45.85,                                                                                                                                                                                                                                                                ,1
11096,15:45,477241,98,105683,csus,41425,MKT,64.761,65.26,                                                                                                                                                                                                                                                                ,1
10763,15:45,477242,119,105683,csus,41433,MKT,64.412,64.65,                                                                                                                                                                                                                                                                ,1
11546,15:45,477243,140,105683,csus,41447,MKT,75.234,75.35,                                                                                                                                                                                                                                                                ,1
9933,15:45,477244,233,105683,csus,41555,MKT,62.672,62.84,                                                                                                                                                                                                                                                                ,1
9816,15:45,477245,96,105683,csus,41662,MKT,125.89,126.22,                                                                                                                                                                                                                                                                ,1
9583,15:45,477246,145,105683,csus,41699,MKT,87.294,87.54,                                                                                                                                                                                                                                                                ,1
9346,15:45,477247,200,105683,csus,41734,MKT,70.174,70.41,                                                                                                                                                                                                                                                                ,1
9173,15:45,477248,310,105683,csus,41866,MKT,62.352,62.58,                                                                                                                                                                                                                                                                ,1
9006,15:45,477249,282,105683,csus,42010,MKT,64.974,65.16,                                                                                                                                                                                                                                                                ,1
8873,15:45,477250,105,105683,csus,42051,MKT,104.191,105.51,                                                                                                                                                                                                                                                                ,1
8700,15:45,477251,263,105683,csus,42088,MKT,57.464,57.63,                                                                                                                                                                                                                                                                ,1
8440,15:45,477252,22,105683,csus,42262,MKT,888.6284,893.64,                                                                                                                                                                                                                                                                ,1
8206,15:45,477253,106,105683,csus,42604,MKT,83.551,84.3,                                                                                                                                                                                                                                                                ,1
8990,15:45,477254,33,105683,csus,42732,MKT,469.58,473.19,                                                                                                                                                                                                                                                                ,1
7776,15:45,477255,29,105683,csus,43138,MKT,576.981,577.56,                                                                                                                                                                                                                                                                ,1
7723,15:45,477256,184,105683,csus,121426,MKT,84.484,83.82,                                                                                                                                                                                                                                                                ,1
6463,15:45,477257,287,105683,csus,43481,MKT,28.491,28.55,                                                                                                                                                                                                                                                                ,1
10320,15:45,477258,329,105683,csus,43649,MKT,37.321,37.44,                                                                                                                                                                                                                                                                ,1
10166,15:45,477259,275,105683,csus,44207,MKT,65.162,65.16,                                                                                                                                                                                                                                                                ,1
9826,15:45,477261,106,105683,csus,44412,MKT,123.054,123.87,                                                                                                                                                                                                                                                                ,1
9643,15:45,477262,272,105683,csus,44532,MKT,64.071,64.37,                                                                                                                                                                                                                                                                ,1
9463,15:45,477263,733,105683,csus,44545,MKT,19.022,19.02,                                                                                                                                                                                                                                                                ,1
9293,15:45,477264,203,105683,csus,44701,MKT,75.402,75.85,                                                                                                                                                                                                                                                                ,1
9083,15:45,477265,130,105683,csus,44827,MKT,110.591,111.03,                                                                                                                                                                                                                                                                ,1
8900,15:45,477266,112,105683,csus,135728,MKT,103.271,103.4,                                                                                                                                                                                                                                                                ,1
2436,15:45,477267,518,105683,csus,42110,MKT,19.281,19.27,                                                                                                                                                                                                                                                                ,1
183120,10:44,477407,200000,10000206,mbus,144819,mkt,100.702,100.702,                                                                                                                                                                                                                                                                ,0
605850,12:00,486087,25000,10000283,mbus,134582,mkt,111.76,112.508,                                                                                                                                                                                                                                                                ,1
7060,15:59,487372,65,88126,rtus,145159,mkt,18.49,18.93,                                                                                                                                                                                                                                                                ,1
30000,13:12,500203,20000,88293,csus,42732,mkt,409.77,410.12,                                                                                                                                                                                                                                                                ,0
33990,13:27,500207,10000,88293,csus,42732,mkt,407.4,410.12,                                                                                                                                                                                                                                                                ,0
75006,13:48,500213,15000,88293,csus,42732,408.5,407.65,410.12,                                                                                                                                                                                                                                                                ,0
105010,14:06,500223,15000,88293,csus,42732,408.5,407.23,410.12,                                                                                                                                                                                                                                                                ,0
5212010,14:32,500241,125000,88293,csus,42732,mkt,418.64,410.12,                                                                                                                                                                                                                                                                ,0
565013,15:50,500351,3102,88293,csus,42732,mkt,419.04,410.12,                                                                                                                                                                                                                                                                ,0
833,13:42,517663,500,88126,csus,45289,MKT,70.77,68.93,                                                                                                                                                                                                                                                                ,1
421356,11:55,534819,1065,88126,csus,130032,MKT,38.68,38.6,                                                                                                                                                                                                                                                                ,0
1047303,15:37,541766,100000,10000206,mbus,140571,mkt,117.274,116.248,                                                                                                                                                                                                                                                                ,1
327376,10:48,550481,100000,10000206,mbus,140571,mkt,117.116,117.37,                                                                                                                                                                                                                                                                ,1
234706,10:03,552318,1475000,10000190,mbus,140033,MKT,115.361,115.409,                                                                                                                                                                                                                                                                ,1
181243,13:32,560425,2645,88126,csus,42088,mkt,49.02,48.96,                                                                                                                                                                                                                                                                ,0
38930,13:32,560426,1860,88126,csus,44207,mkt,72.955,72.93,                                                                                                                                                                                                                                                                ,0
193710,13:32,560427,3200,88126,csus,45275,mkt,42.47,42.44,                                                                                                                                                                                                                                                                ,1
14731996,10:43,561057,30000,88119,csus,121272,mkt,23.37,23.3,                                                                                                                                                                                                                                                                ,0
1539000,14:50,561328,23135,88119,csus,121272,mkt,23.34,23.3,                                                                                                                                                                                                                                                                ,0
338026,11:50,578473,3190000,10000195,mbus,148013,mkt,115.184,115.184,                                                                                                                                                                                                                                                                ,0
126270,11:52,578492,2875000,10000195,mbus,148016,mkt,105.902,105.902,                                                                                                                                                                                                                                                                ,0
84243,12:17,579722,1050000,10000073,mbus,148050,mkt,115.975,115.975,                                                                                                                                                                                                                                                                ,0
133416,14:00,579810,450000,10000195,mbus,148055,mkt,116.03,116.03,                                                                                                                                                                                                                                                                ,0
273300,13:45,580593,2570000,10000190,mbus,148083,MKT,114.275,114.275,                                                                                                                                                                                                                                                                ,0
470113,10:10,583957,270000,10000195,mbus,148146,mkt,114.673,114.673,                                                                                                                                                                                                                                                                ,0
140836,12:59,586284,515000,10000195,mbus,148212,mkt,118.635,118.635,                                                                                                                                                                                                                                                                ,0
1476340,11:07,588023,100000,10000185,mbus,139079,mkt,111.14,111.228,                                                                                                                                                                                                                                                                ,1
143796,10:25,588567,2500000,10000203,mbus,148293,mkt,115.681,115.681,                                                                                                                                                                                                                                                                ,0
723696,9:36,590427,100000,10000185,mbus,133019,mkt,103.856,104.028,                                                                                                                                                                                                                                                                ,1
717440,9:36,590428,100000,10000185,mbus,144811,mkt,103.683,103.9,                                                                                                                                                                                                                                                                ,1
994126,12:35,601619,825000,10000190,mbus,146445,mkt,95.525,95.525,                                                                                                                                                                                                                                                                ,0
1275473,14:18,602273,250000,10000185,mbus,139764,mkt,106.139,106.139,                                                                                                                                                                                                                                                                ,1
255003,11:31,605277,14062714,10000188,fmus,149239,mkt,17.3125,17.375,                                                                                                                                                                                                                                                                ,0
123283,12:52,605415,1500000,10000190,mbus,149245,mkt,114.9,114.9,                                                                                                                                                                                                                                                                ,0
816600,9:35,606430,175000,10000195,mbus,144844,mkt,102.302,102.689,                                                                                                                                                                                                                                                                ,1
