ExecTime,PlaceTime,placeID,PlaceQty,BrokerKey,SecType,SecKey,limit,price,EstPrice,Algo,TranCode,ExchangeID,IndGrpID,SectorID,Currency,MFTotalCost
1675976,10:05,409782,9950000,10000188,tnus,139063,mkt,102.5429688,100, ,0,0,1461,1462,us,10203025.39
365666,11:02,440283,4381000,10000178,fhus,140583,MKT,103.703125,103.75, ,0,0,1353,1406,us,4134305.555
6563,12:37,441048,199,88126,psus,137976,MKT,26.61,26.5899, ,0,0,0,0,us,5295.39
2100110,10:49,476716,2000000,10000195,mbus,144811,mkt,105.359,105.359,                                                                                                                                                                                                                                                                ,0,0,1329,1382,us,2107180
18813,15:45,477234,42,105683,csus,40214,MKT,440.061,440.9,                                                                                                                                                                                                                                                                ,1,3,1539,468,us,18482.562
11550,15:45,477235,155,105683,csus,40273,MKT,82.461,82.78,                                                                                                                                                                                                                                                                ,1,1,1536,468,us,12781.455
12306,15:45,477236,115,105683,csus,40497,MKT,72.582,73.08,                                                                                                                                                                                                                                                                ,1,3,1537,468,us,8346.93
12090,15:45,477237,152,105683,csus,40522,MKT,77.41,78.09,                                                                                                                                                                                                                                                                ,1,1,1540,468,us,11766.32
11890,15:45,477238,94,105683,csus,41174,MKT,144.79,144.62,                                                                                                                                                                                                                                                                ,1,1,1478,464,us,13610.26
11633,15:45,477239,103,105683,csus,41303,MKT,113.311,113.65,                                                                                                                                                                                                                                                                ,1,3,1516,463,us,11671.033
11426,15:45,477240,212,105683,csus,41365,MKT,45.744,45.85,                                                                                                                                                                                                                                                                ,1,1,1537,468,us,9697.728
11096,15:45,477241,98,105683,csus,41425,MKT,64.761,65.26,                                                                                                                                                                                                                                                                ,1,3,1536,468,us,6346.578
10763,15:45,477242,119,105683,csus,41433,MKT,64.412,64.65,                                                                                                                                                                                                                                                                ,1,3,1537,468,us,7665.028
11546,15:45,477243,140,105683,csus,41447,MKT,75.234,75.35,                                                                                                                                                                                                                                                                ,1,1,1526,466,us,10532.76
9933,15:45,477244,233,105683,csus,41555,MKT,62.672,62.84,                                                                                                                                                                                                                                                                ,1,1,1495,467,us,14602.576
9816,15:45,477245,96,105683,csus,41662,MKT,125.89,126.22,                                                                                                                                                                                                                                                                ,1,1,1522,466,us,12085.44
9583,15:45,477246,145,105683,csus,41699,MKT,87.294,87.54,                                                                                                                                                                                                                                                                ,1,1,1486,469,us,12657.63
9346,15:45,477247,200,105683,csus,41734,MKT,70.174,70.41,                                                                                                                                                                                                                                                                ,1,1,1520,463,us,14034.8
9173,15:45,477248,310,105683,csus,41866,MKT,62.352,62.58,                                                                                                                                                                                                                                                                ,1,3,1522,466,us,19329.12
9006,15:45,477249,282,105683,csus,42010,MKT,64.974,65.16,                                                                                                                                                                                                                                                                ,1,1,1493,467,us,18322.668
8873,15:45,477250,105,105683,csus,42051,MKT,104.191,105.51,                                                                                                                                                                                                                                                                ,1,3,1508,462,us,10940.055
8700,15:45,477251,263,105683,csus,42088,MKT,57.464,57.63,                                                                                                                                                                                                                                                                ,1,1,1478,464,us,15112.843
8440,15:45,477252,22,105683,csus,42262,MKT,888.6284,893.64,                                                                                                                                                                                                                                                                ,1,3,1535,468,us,19549.8248
8206,15:45,477253,106,105683,csus,42604,MKT,83.551,84.3,                                                                                                                                                                                                                                                                ,1,3,1521,466,us,8856.406
8990,15:45,477254,33,105683,csus,42732,MKT,469.58,473.19,                                                                                                                                                                                                                                                                ,1,3,1521,466,us,15496.14
7776,15:45,477255,29,105683,csus,43138,MKT,576.981,577.56,                                                                                                                                                                                                                                                                ,1,1,1536,468,us,16732.449
