Date,Incoming Calls,Cases Created,Cases Acquired,Cases Closed,Phone Time,Case Minutes,Open Cases,Cases Needing Update,% Cases Needing Update,Surveys,Offered Calls,Abandoned Calls,Voice Mail,Handled Calls,Handle %,Abandon %,RONAs,ASA,Max Answer Time,Average Abandon Time,Service Level
9/1/2015,50,36,12,60,45,0,217,113,,2,62,1,1,60,97%,2%,8,1.1,16.9,1.1,90%
9/2/2015,53,48,18,54,64,0,217,113,,3,58,3,0,53,91%,5%,4,0.4,11.2,3.9,93%
9/3/2015,49,43,12,62,41,0,217,113,,1,63,3,0,60,95%,5%,2,0.7,11.4,3.6,89%
9/4/2015,43,36,15,36,33,0,217,113,,3,59,4,0,55,93%,7%,2,1.9,14.6,4.2,75%
9/5/2015,,,,,,,,,,,,,,,,,,,,,
9/6/2015,,,,,,,,,,,,,,,,,,,,,
9/7/2015,1,1,0,3,24,0,217,113,,0,1,0,0,1,100%,0%,0,0,0,,100%
9/8/2015,39,34,12,37,43,0,217,113,,1,51,3,0,46,90%,6%,3,1.6,23.9,5.5,82%
9/9/2015,40,29,16,42,61,0,217,113,,2,42,0,0,42,100%,0%,1,0.1,2.8,,98%
9/10/2015,26,22,8,30,47,0,217,113,,2,34,0,0,34,100%,0%,2,0.3,9.3,,97%
9/11/2015,30,24,12,34,47,0,217,113,,1,37,1,0,35,95%,3%,7,0,0,0.1,100%
9/12/2015,,,,,,,,,,,,,,,,,,,,,
9/13/2015,,,,,,,,,,,,,,,,,,,,,
9/14/2015,29,23,16,26,55,0,217,113,,1,37,4,0,33,89%,11%,1,0.2,4.4,16.1,86%
9/15/2015,50,37,10,39,59,0,217,113,,0,61,1,0,59,97%,2%,2,0.9,12.2,1.8,88%
9/16/2015,47,34,9,45,44,0,217,113,,0,57,4,0,52,91%,7%,3,2.3,21.7,3.3,73%
9/17/2015,41,37,7,39,76,0,217,113,,2,49,1,0,47,96%,2%,6,1.1,15.8,0.2,85%
9/18/2015,33,26,16,38,53,0,217,113,,2,50,9,0,41,82%,18%,2,2.2,32.2,11.5,72%
9/19/2015,,,,,,,,,,,,,,,,,,,,,
9/20/2015,,,,,,,,,,,,,,,,,,,,,
9/21/2015,59,44,19,45,53,0,217,113,,1,68,3,0,64,94%,4%,6,1.2,15.6,4.5,85%
9/22/2015,37,33,9,46,70,0,217,113,,2,41,0,0,41,100%,0%,1,0,0,,100%
9/23/2015,44,41,10,55,56,0,217,113,,3,49,2,0,46,94%,4%,5,0.4,13.6,0.6,94%
9/24/2015,38,33,17,42,45,0,217,113,,3,55,5,2,48,87%,9%,3,0.5,11.3,1.3,96%
9/25/2015,32,21,10,35,55,0,217,113,,3,41,0,0,41,100%,0%,2,1.1,20.4,,93%
9/26/2015,,,,,,,,,,,,,,,,,,,,,
9/27/2015,,,,,,,,,,,,,,,,,,,,,
9/28/2015,38,35,9,39,56,0,217,113,,0,46,3,0,43,93%,7%,3,0.5,8.8,11.2,89%
9/29/2015,46,34,9,49,51,0,217,113,,0,67,1,0,53,79%,1%,13,1.6,24,17.5,85%
9/30/2015,41,31,15,45,41,0,217,113,,2,65,6,1,52,80%,9%,8,1.6,31,4.2,82%
10/1/2015,54,46,12,60,65,0,221,92,,0,63,3,0,59,94%,5%,4,1.5,32.1,4.8,87%
10/2/2015,26,17,19,17,69,0,221,92,,0,31,3,1,27,87%,10%,3,2.2,48.9,3.4,89%
10/3/2015,,,,,,,,,,,,,,,,,,,,,
10/4/2015,,,,,,,,,,,,,,,,,,,,,
10/5/2015,58,46,14,54,65,0,221,92,,,63,4,0,59,94%,6%,7,1.6,17.8,2.5,78%
10/6/2015,49,42,17,33,60,0,221,92,,2,54,5,0,48,89%,9%,5,1.6,24.2,7.3,77%
10/7/2015,66,62,11,61,57,0,221,92,,3,79,10,3,65,82%,13%,4,1.6,24,7.6,76%
10/8/2015,49,40,17,65,65,0,221,92,,1,63,8,1,51,81%,13%,5,2,32,3.5,82%
10/9/2015,35,39,8,57,60,0,221,92,,4,38,2,0,36,95%,5%,5,0.9,7.7,2.3,81%
10/10/2015,,,,,,,,,,,,,,,,,,,,,
10/11/2015,,,,,,,,,,,,,,,,,,,,,
10/12/2015,51,45,8,65,59,0,221,92,,2,60,6,0,53,88%,10%,3,1.3,14.3,6.3,78%
10/13/2015,40,23,17,37,52,0,221,92,,0,48,6,2,39,81%,12%,3,1.1,11.9,2.9,81%
10/14/2015,43,33,16,44,67,0,221,92,,1,45,0,0,45,100%,0%,3,0.3,3.8,,96%
10/15/2015,40,35,13,48,45,0,221,92,,0,50,6,0,44,88%,12%,5,2.3,20.4,1.9,73%
10/16/2015,34,30,6,41,54,0,221,92,,2,35,1,0,34,97%,3%,1,0.2,5.9,23.4,97%
10/17/2015,,,,,,,,,,,,,,,,,,,,,
10/18/2015,,,,,,,,,,,,,,,,,,,,,
10/19/2015,41,27,22,38,46,0,203,85,,2,49,7,1,40,82%,14%,1,0.8,9.6,4.3,80%
10/20/2015,48,39,20,43,54,0,203,85,,1,66,18,0,48,73%,27%,7,3.4,49.6,9.2,61%
10/21/2015,46,31,24,44,57,0,203,85,,1,73,24,2,46,63%,33%,7,1.7,51.1,3.1,78%
10/22/2015,39,35,10,44,49,0,203,85,,1,41,2,0,38,93%,5%,1,2.3,19.9,3,85%
10/23/2015,54,39,13,58,51,0,203,85,,3,60,4,0,54,90%,7%,7,1,12.9,4.6,88%
10/24/2015,,,,,,,,,,,,,,,,,,,,,
10/25/2015,,,,,,,,,,,,,,,,,,,,,
10/26/2015,38,31,15,33,42,0,203,85,,0,49,8,0,41,84%,16%,1,3.5,31.5,4.7,65%
10/27/2015,47,38,8,60,69,0,203,85,,1,51,3,0,47,92%,6%,0,0.8,9.4,5.1,88%
10/28/2015,42,34,12,49,83,0,203,85,,1,43,1,0,42,98%,2%,4,0.1,5.4,5.1,98%
10/29/2015,35,27,14,35,69,0,203,85,,6,36,1,1,33,92%,3%,0,1.5,12.3,4.7,80%
10/30/2015,46,40,7,36,43,0,203,85,,0,48,2,0,46,96%,4%,3,0.2,3.2,5.9,94%
10/31/2015,,,,,,,,,,,,,,,,,,,,,
11/1/2015,,,,,,,,,,,,,,,,,,,,,
11/2/2015,45,37,13,39,47,0,223,124,,1,46,1,0,45,98%,2%,3,0.6,8.9,0.4,91%
11/3/2015,51,42,6,45,67,0,223,124,,2,50,0,0,50,100%,0%,7,0.1,4,,98%
11/4/2015,36,31,11,38,55,0,223,124,,1,40,1,0,39,98%,2%,2,0.2,4.7,1.7,100%
11/5/2015,53,41,13,63,68,0,223,124,,1,56,1,0,53,95%,2%,3,0.5,12.7,4.8,91%
11/6/2015,55,43,9,55,78,0,223,124,,4,60,3,0,55,92%,5%,4,0.9,9.4,2.7,83%
11/7/2015,,,,,,,,,,,,,,,,,,,,,
11/8/2015,,,,,,,,,,,,,,,,,,,,,
11/9/2015,48,36,9,52,54,0,223,124,,3,51,3,0,48,94%,6%,5,1.8,40.2,8.1,80%
